user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy,style
¿Qué género tiene Microjuego?,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Metro Mini Market Simulator pertenece al género Management y fue desarrollado por Altai Entertainment', 'El juego Mystopia pertenece al género Sandbox y fue desarrollado por Last Minute Studios']",Microjuego pertenece al género FPS.,FPS,0.9999999999,1.0,1.0,,zero_shot
¿Quién desarrolló Microjuego?,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego to a T pertenece al género Puzzle y fue desarrollado por uvula LLC', 'El jugador U060 registró una actividad en 2025-09-12 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U020 registró una actividad en 2025-09-12 del juego Microjuego en el servidor S1 con la versión V103']",TFMGrafos,,0.0,,1.0,,zero_shot
¿A qué género pertenece Microjuego?,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Metro Mini Market Simulator pertenece al género Management y fue desarrollado por Altai Entertainment', 'El juego to a T pertenece al género Puzzle y fue desarrollado por uvula LLC']",Microjuego pertenece al género FPS.,FPS,0.9999999999,1.0,1.0,0.9469927614176533,zero_shot
¿Qué estudio desarrolló Microjuego?,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Metro Mini Market Simulator pertenece al género Management y fue desarrollado por Altai Entertainment', 'El jugador U020 registró una actividad en 2025-09-12 del juego Microjuego en el servidor S1 con la versión V103']",TFMGrafos,TFMGrafos,0.9999999999,1.0,0.0,0.7451768324637613,zero_shot
Indica el género de Microjuego.,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Metro Mini Market Simulator pertenece al género Management y fue desarrollado por Altai Entertainment', 'El juego CONERU -DIMENSION GIRL- pertenece al género RPG y fue desarrollado por HIKE Inc.']",FPS,FPS,0.9999999999,1.0,1.0,0.7090111537522009,zero_shot
Dime el estudio que desarrolló Microjuego.,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Metro Mini Market Simulator pertenece al género Management y fue desarrollado por Altai Entertainment', 'El juego to a T pertenece al género Puzzle y fue desarrollado por uvula LLC']",TFMGrafos,,0.0,,1.0,0.7396341686224773,few_shot
¿A qué género pertenece Microjuego?,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Metro Mini Market Simulator pertenece al género Management y fue desarrollado por Altai Entertainment', 'El juego to a T pertenece al género Puzzle y fue desarrollado por uvula LLC']",Microjuego pertenece al género FPS.,FPS,0.9999999999,1.0,1.0,0.9469927614176533,few_shot
Indica el estudio de Microjuego.,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El jugador U020 registró una actividad en 2025-09-12 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U060 registró una actividad en 2025-09-12 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U060 registró una actividad en 2025-09-13 del juego Microjuego en el servidor S1 con la versión V103']",El estudio de Microjuego es TFMGrafos.,TFMGrafos,0.9999999999,1.0,1.0,,few_shot
¿A qué género pertenece Microjuego?,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Metro Mini Market Simulator pertenece al género Management y fue desarrollado por Altai Entertainment', 'El juego to a T pertenece al género Puzzle y fue desarrollado por uvula LLC']",Microjuego pertenece al género FPS.,FPS,0.9999999999,1.0,1.0,,few_shot
Indica el estudio de Microjuego.,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El jugador U020 registró una actividad en 2025-09-12 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U060 registró una actividad en 2025-09-12 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U060 registró una actividad en 2025-09-13 del juego Microjuego en el servidor S1 con la versión V103']",El estudio de Microjuego es TFMGrafos.,TFMGrafos,0.9999999999,1.0,1.0,,few_shot
